"Protein1","Protein2","Gene1","Gene2","Context","StringScore"
"P06733","Q14966","ENO1","ZNF638","poor",0
"Q9Y6D6","P18669","ARFGEF1","PGAM1","poor",0
"P04406","P50213","GAPDH","IDH3A","poor",353
"Q96A08","Q8N1G4","H2BC1","LRRC47","poor",0
"Q8WVC0","P04843","LEO1","RPN1","poor",0
"Q00839","O75151","HNRNPU","PHF2","poor",0
"P19105","P37802","MYL12A","TAGLN2","poor",236
"Q86XJ1","P67809","GAS2L3","YBX1","poor",0
"O00154","Q15006","ACOT7","EMC2","poor",0
"P68431","Q00839","H3C1","HNRNPU","poor",0
"P0C0S8","Q9Y5S9","H2AC11","RBM8A","poor",0
"Q4VC31","P35580","MIX23","MYH10","poor",0
"Q9H6R7","Q9Y3A5","WDCP","SBDS","poor",0
"O14974","P68036","PPP1R12A","UBE2L3","poor",0
"Q71UI9","P68431","H2AZ2","H3C1","rich",0
"A8MVX0","P62826","ARHGEF33","RAN","rich",0
"Q96A65","O75347","EXOC4","TBCA","poor",0
"Q96A65","Q4G0P3","EXOC4","HYDIN","poor",0
"P53990","P11586","IST1","MTHFD1","poor",0
"P51149","Q93073","RAB7A","SECISBP2L","poor",0
"Q15233","Q63HN8","NONO","RNF213","poor",0
"P06732","P12532","CKM","CKMT1A","poor",700
"Q96A08","Q96ST2","H2BC1","IWS1","poor",173
"P06748","Q15431","NPM1","SYCP1","poor",0
"P68431","P61978","H3C1","HNRNPK","poor",285
"Q92620","P38159","DHX38","RBMX","poor",0
"Q13201","Q13442","MMRN1","PDAP1","poor",0
"Q14320","P62937","FAM50A","PPIA","poor",0
"Q12797","O15173","ASPH","PGRMC2","poor",0
"A6NE01","P61604","FAM186A","HSPE1","poor",0
"P78324","Q5TFQ8","SIRPA","SIRPB1","poor",0
"P48634","P62826","PRRC2A","RAN","poor",0
"P06733","Q15046","ENO1","KARS1","poor",557
"Q9P225","P22626","DNAH2","HNRNPA2B1","poor",0
"P47813","Q96A08","EIF1AX","H2BC1","poor",0
"Q8ND61","P55209","C3orf20","NAP1L1","poor",0
"Q9NYF8","P08195","BCLAF1","SLC3A2","poor",0
"Q96AG4","P13535","LRRC59","MYH8","poor",0
"P21796","Q9BZ95","VDAC1","NSD3","poor",0
"Q7KZF4","P67936","SND1","TPM4","poor",0
"P54819","Q9Y295","AK2","DRG1","poor",0
"Q96GQ7","P49321","DDX27","NASP","poor",0
"P27695","Q8IYA6","APEX1","CKAP2L","poor",0
"P05204","Q13427","HMGN2","PPIG","poor",0
"Q9BRJ6","Q9NRL3","C7orf50","STRN4","poor",0
"P30101","Q86YA3","PDIA3","ZGRF1","poor",0
"P0C0S8","Q9BQK8","H2AC11","LPIN3","poor",0
"Q4G0P3","O75347","HYDIN","TBCA","poor",0
"Q02952","P13639","AKAP12","EEF2","poor",0
"Q12996","P62937","CSTF3","PPIA","poor",0
"P06748","Q9UIW2","NPM1","PLXNA1","poor",0
"O60762","P52292","DPM1","KPNA2","poor",0
"Q9Y4L1","Q8WZ42","HYOU1","TTN","poor",0
"Q9BXX3","P06748","ANKRD30A","NPM1","poor",0
"Q9H993","Q9NQG5","ARMT1","RPRD1B","poor",0
"P68431","O43765","H3C1","SGTA","poor",0
"O14617","P13591","AP3D1","NCAM1","poor",0
"P68431","P63104","H3C1","YWHAZ","poor",839
"Q03701","Q93079","CEBPZ","H2BC9","poor",0
"Q14839","P14314","CHD4","PRKCSH","poor",0
"P27695","P05114","APEX1","HMGN1","poor",199
"P23526","Q9UBT2","AHCY","UBA2","poor",0
"Q8IXB1","P26639","DNAJC10","TARS1","poor",403
"Q8IZC6","P26641","COL27A1","EEF1G","poor",0
"P62805","P19338","H4C1","NCL","poor",471
"P04075","P48509","ALDOA","CD151","poor",0
"P0C0S8","Q16513","H2AC11","PKN2","poor",0
"Q14320","P09012","FAM50A","SNRPA","poor",0
"O95714","P35237","HERC2","SERPINB6","poor",0
"Q03001","Q16891","DST","IMMT","poor",0
"Q6UB99","Q16891","ANKRD11","IMMT","poor",0
"P14314","Q86YA3","PRKCSH","ZGRF1","poor",0
"Q09666","P68431","AHNAK","H3C1","poor",0
"O75390","Q15392","CS","DHCR24","poor",219
"Q9HD42","P62987","CHMP1A","UBA52","poor",0
"Q13459","Q96RL7","MYO9B","VPS13A","poor",225
"Q93079","Q93073","H2BC9","SECISBP2L","poor",0
"Q9UIG0","P47813","BAZ1B","EIF1AX","poor",0
"P41252","Q9UBF8","IARS1","PI4KB","poor",0
"P07737","Q13427","PFN1","PPIG","poor",169
"Q6WRI0","O95793","IGSF10","STAU1","poor",0
"Q96A08","P62805","H2BC1","H4C1","poor",941
"Q9UMR2","P06733","DDX19B","ENO1","poor",0
"P23229","P20962","ITGA6","PTMS","poor",0
"Q9Y2J2","Q9P035","EPB41L3","HACD3","poor",0
"Q9Y2J2","P63151","EPB41L3","PPP2R2A","poor",0
"P22626","P05141","HNRNPA2B1","SLC25A5","poor",0
"Q7L1Q6","P37802","BZW1","TAGLN2","poor",0
"Q12830","P55884","BPTF","EIF3B","poor",0
"Q00796","Q14966","SORD","ZNF638","poor",0
"Q9NVI7","P35749","ATAD3A","MYH11","poor",0
"Q76FK4","P05141","NOL8","SLC25A5","poor",0
"Q96SN8","Q06830","CDK5RAP2","PRDX1","poor",0
"P13639","Q7Z2K8","EEF2","GPRIN1","poor",0
"P23229","Q8NI27","ITGA6","THOC2","poor",0
"P06733","P12883","ENO1","MYH7","poor",0
"P54132","P16403","BLM","H1-2","poor",0
"P35663","P06733","CYLC1","ENO1","poor",0
"Q8N7X0","P31948","ADGB","STIP1","poor",0
"Q01518","O43765","CAP1","SGTA","poor",0
"P05141","P63313","SLC25A5","TMSB10","poor",0
"P61421","Q9Y3C8","ATP6V0D1","UFC1","poor",0
"Q15366","P55072","PCBP2","VCP","poor",211
"Q96A08","P05114","H2BC1","HMGN1","poor",0
"O43497","P42126","CACNA1G","ECI1","poor",0
"P50990","P17174","CCT8","GOT1","poor",0
"P49368","P46940","CCT3","IQGAP1","poor",0
"O60308","P62807","CEP104","H2BC4","poor",0
"Q8NC51","Q16670","SERBP1","ZSCAN26","poor",0
"P13639","Q9UGP8","EEF2","SEC63","poor",0
"Q9Y673","Q96A08","ALG5","H2BC1","poor",0
"P61160","O15511","ACTR2","ARPC5","poor",999
"P55209","P13591","NAP1L1","NCAM1","poor",0
"Q9BWV3","P16104","CDADC1","H2AX","poor",0
"P68431","P48556","H3C1","PSMD8","poor",0
"P56385","O43768","ATP5ME","ENSA","poor",0
"P06748","P35610","NPM1","SOAT1","poor",0
"Q15059","Q9H7Z7","BRD3","PTGES2","poor",0
"Q8WYP5","Q96A08","AHCTF1","H2BC1","poor",0
"O60885","Q07021","BRD4","C1QBP","poor",0
"P04406","Q8IVG5","GAPDH","SAMD9L","poor",0
"Q5VTE0","Q5JRA6","EEF1A1P5","MIA3","poor",0
"O00159","Q8N1T3","MYO1C","MYO1H","poor",0
"Q7L9L4","Q9Y490","MOB1B","TLN1","poor",0
"P06733","Q9C0H6","ENO1","KLHL4","poor",0
"P27824","P42166","CANX","TMPO","poor",364
"P13667","Q8NF91","PDIA4","SYNE1","poor",0
"P56385","Q9UMS4","ATP5ME","PRPF19","poor",0
"P06733","Q8NHU6","ENO1","TDRD7","poor",0
"P53396","Q9Y3D6","ACLY","FIS1","poor",207
"Q02790","Q9Y2S6","FKBP4","TMA7","poor",0
"P68431","P35716","H3C1","SOX11","poor",0
"Q15029","P30101","EFTUD2","PDIA3","poor",165
"P19338","Q8NC96","NCL","NECAP1","poor",0
"Q14409","Q00839","GK3P","HNRNPU","poor",0
"Q8NBJ4","O15056","GOLM1","SYNJ2","poor",0
"P24534","P0C7P1","EEF1B2","RBMY1D","poor",0
"O75943","P05455","RAD17","SSB","poor",0
"P40227","Q8NI27","CCT6A","THOC2","poor",0
"Q96A08","P62826","H2BC1","RAN","poor",658
"Q5VTE0","P40222","EEF1A1P5","TXLNA","poor",0
"P46821","Q99961","MAP1B","SH3GL1","poor",189
"Q9BSJ8","P68431","ESYT1","H3C1","poor",0
"Q7Z7A1","P30153","CNTRL","PPP2R1A","poor",0
"P61221","O43852","ABCE1","CALU","poor",0
"Q16555","Q14195","DPYSL2","DPYSL3","poor",994
"P23528","P35663","CFL1","CYLC1","poor",0
"Q9GZR7","P0C0S8","DDX24","H2AC11","poor",0
"Q8N8E3","P23528","CEP112","CFL1","poor",0
"O15078","P14678","CEP290","SNRPB","poor",0
"P0C0S8","Q99598","H2AC11","TSNAX","poor",0
"P04406","Q13439","GAPDH","GOLGA4","poor",183
"Q13451","Q00839","FKBP5","HNRNPU","poor",0
"P25940","P43487","COL5A3","RANBP1","poor",0
"Q96C01","O95801","FAM136A","TTC4","poor",0
"Q03001","Q9NPA8","DST","ENY2","poor",0
"Q5T9S5","Q9NPA8","CCDC18","ENY2","poor",0
"Q9NYC9","P68431","DNAH9","H3C1","poor",160
"P00387","O75521","CYB5R3","ECI2","poor",0
"Q6P158","Q02790","DHX57","FKBP4","poor",0
"P04406","P0DMR1","GAPDH","HNRNPCL4","poor",0
"Q9Y5H0","Q9UL25","PCDHGA3","RAB21","poor",0
"Q13905","P42166","RAPGEF1","TMPO","poor",0
"Q9NVI7","Q8N8Z6","ATAD3A","DCBLD1","poor",0
"P62807","Q9NWH9","H2BC4","SLTM","poor",0
"P15170","Q8IYD1","GSPT1","GSPT2","poor",989
"P61158","P14678","ACTR3","SNRPB","poor",175
"P61158","Q8WZ42","ACTR3","TTN","poor",290
"P06733","Q08945","ENO1","SSRP1","poor",191
"Q8ND61","Q7Z4V5","C3orf20","HDGFL2","poor",0
"Q6UB99","P62807","ANKRD11","H2BC4","poor",0
"Q8NI08","P62826","NCOA7","RAN","poor",0
"Q6V0I7","P68431","FAT4","H3C1","poor",0
"Q9NZN3","Q9NSD9","EHD3","FARSB","poor",0
"P08133","O15347","ANXA6","HMGB3","poor",0
"Q15029","P42167","EFTUD2","TMPO","poor",328
"Q4G0P3","Q9Y266","HYDIN","NUDC","poor",0
"P27695","P13667","APEX1","PDIA4","poor",166
"Q9BUQ8","P23284","DDX23","PPIB","poor",0
"Q13402","Q9H2G2","MYO7A","SLK","poor",0
"Q9H444","P09661","CHMP4B","SNRPA1","poor",0
"Q58FF6","P52888","HSP90AB4P","THOP1","poor",0
"P23763","P63027","VAMP1","VAMP2","rich",875
"P04075","P15104","ALDOA","GLUL","poor",305
"P51572","P06733","BCAP31","ENO1","poor",0
"P10155","P62258","RO60","YWHAE","poor",0
"O95140","P62877","MFN2","RBX1","poor",0
"P12277","Q96PD2","CKB","DCBLD2","poor",0
"P06576","Q03001","ATP5F1B","DST","poor",0
"P06576","Q5T9S5","ATP5F1B","CCDC18","poor",0
"P16402","P10412","H1-3","H1-4","rich",773
"Q13740","O14647","ALCAM","CHD2","poor",0
"Q9H814","P67809","PHAX","YBX1","poor",271
"Q9H814","P16989","PHAX","YBX3","poor",0
"Q9NUQ9","P17980","CYRIB","PSMC3","poor",0
"P62937","P23470","PPIA","PTPRG","poor",0
"P62316","P62306","SNRPD2","SNRPF","poor",999
"P49589","P51571","CARS1","SSR4","poor",0
"P06744","O75367","GPI","MACROH2A1","poor",185
"P10768","P04406","ESD","GAPDH","poor",205
"P62826","P08134","RAN","RHOC","poor",0
"Q9Y6E2","P61081","BZW2","UBE2M","poor",0
"P51572","Q15046","BCAP31","KARS1","poor",0
"Q8NFC6","Q9Y3B8","BOD1L1","REXO2","poor",0
"P62807","Q14966","H2BC4","ZNF638","poor",0
"P68431","P62987","H3C1","UBA52","rich",225
"P46109","P54764","CRKL","EPHA4","poor",250
"P49588","P40925","AARS1","MDH1","poor",211
"P06733","O14974","ENO1","PPP1R12A","poor",0
"P54709","Q9NPH2","ATP1B3","ISYNA1","poor",0
"Q9BV73","P26038","CEP250","MSN","poor",0
"Q9UII2","P26038","ATP5IF1","MSN","poor",181
"Q02224","P26038","CENPE","MSN","poor",0
"Q9P035","P63151","HACD3","PPP2R2A","poor",0
"Q5T9S5","Q9P035","CCDC18","HACD3","poor",0
"P39748","P37837","FEN1","TALDO1","poor",174
"P62807","Q5JTH9","H2BC4","RRP12","poor",0
"Q5QNW6","O60673","H2BC18","REV3L","poor",0
"Q9UIG0","Q00839","BAZ1B","HNRNPU","poor",183
"Q92616","Q00839","GCN1","HNRNPU","poor",173
"Q8TDI0","P62807","CHD5","H2BC4","poor",0
"Q9BXS5","O15417","AP1M1","TNRC18","poor",0
"Q9UBF2","P63313","COPG2","TMSB10","poor",0
"Q8TCA0","P63313","LRRC20","TMSB10","poor",0
"Q4AC94","P06733","C2CD3","ENO1","poor",0
"Q96A08","P05204","H2BC1","HMGN2","poor",0
"O60841","P55209","EIF5B","NAP1L1","poor",0
"P0C0S8","O15417","H2AC11","TNRC18","rich",0
"Q04721","P14314","NOTCH2","PRKCSH","poor",0
"P62805","Q03164","H4C1","KMT2A","poor",957
"Q5VTE0","P16104","EEF1A1P5","H2AX","poor",0
"Q10567","P06733","AP1B1","ENO1","poor",0
"Q02790","Q13099","FKBP4","IFT88","poor",0
"P53618","P06733","COPB1","ENO1","poor",0
"P62987","P68036","UBA52","UBE2L3","poor",970
"Q02790","P18206","FKBP4","VCL","poor",0
"P22102","P15104","GART","GLUL","poor",545
"Q7Z5J8","P14678","ANKAR","SNRPB","poor",0
"P51572","Q10570","BCAP31","CPSF1","poor",0
"P35998","O14818","PSMC2","PSMA7","poor",999
"Q9NVA2","Q16181","SEPTIN11","SEPTIN7","poor",998
"O94760","P13639","DDAH1","EEF2","poor",0
"Q58FF6","P11166","HSP90AB4P","SLC2A1","poor",0
"O95782","P00918","AP2A1","CA2","poor",0
"P54709","Q8TBZ2","ATP1B3","MYCBPAP","poor",0
"Q5VTE0","P26641","EEF1A1P5","EEF1G","poor",0
"O94919","Q9UKM9","ENDOD1","RALY","poor",0
"Q9H0C8","Q9Y277","ILKAP","VDAC3","poor",0
"P56385","A6NE01","ATP5ME","FAM186A","poor",0
"Q8NHQ9","P40925","DDX55","MDH1","poor",0
"Q03001","Q76FK4","DST","NOL8","poor",0
"P53621","P14678","COPA","SNRPB","poor",261
"P37837","P26639","TALDO1","TARS1","poor",0
"O75044","P37837","SRGAP2","TALDO1","poor",0
"P10412","Q9BQK8","H1-4","LPIN3","poor",0
"P31948","P62258","STIP1","YWHAE","poor",304
"Q9NSI6","P19338","BRWD1","NCL","poor",0
"Q93079","Q69YQ0","H2BC9","SPECC1L","poor",0
"P80723","Q14746","BASP1","COG2","poor",0
"O94919","Q03164","ENDOD1","KMT2A","poor",0
"P13667","Q6R2W3","PDIA4","ZBED9","poor",157
"P13667","Q5VUA4","PDIA4","ZNF318","poor",0
"Q8ND61","P06733","C3orf20","ENO1","poor",0
"Q9Y295","Q9Y248","DRG1","GINS2","poor",0
"Q92522","P00558","H1-10","PGK1","poor",0
"P10412","Q9C0D5","H1-4","TANC1","poor",0
"P54709","P13667","ATP1B3","PDIA4","poor",171
"Q9Y266","P62995","NUDC","TRA2B","poor",345
"P61158","O15145","ACTR3","ARPC3","rich",999
"P06733","Q06124","ENO1","PTPN11","poor",0
"P30101","Q8WZ42","PDIA3","TTN","poor",0
"O14617","P00558","AP3D1","PGK1","poor",0
"Q96CT7","P10412","CCDC124","H1-4","poor",0
"Q8IUX7","P62807","AEBP1","H2BC4","poor",0
"Q13427","P29401","PPIG","TKT","poor",0
"P13667","Q8IV08","PDIA4","PLD3","poor",0
"P21281","Q58FF6","ATP6V1B2","HSP90AB4P","poor",0
"P68431","Q9H7Z7","H3C1","PTGES2","poor",0
"P49588","P19087","AARS1","GNAT2","poor",167
"P04406","Q8NFU7","GAPDH","TET1","poor",404
"P46821","Q8NF91","MAP1B","SYNE1","poor",0
"Q14204","Q4G0P3","DYNC1H1","HYDIN","poor",0
"Q14204","O75347","DYNC1H1","TBCA","poor",181
"P13639","Q9HCE3","EEF2","ZNF532","poor",0
"O14737","P17987","PDCD5","TCP1","poor",618
"Q9UII2","Q5T9S5","ATP5IF1","CCDC18","poor",0
"Q9UII2","Q03001","ATP5IF1","DST","poor",0
"Q15459","P42285","SF3A1","MTREX","poor",494
"O14967","Q71UI9","CLGN","H2AZ2","poor",0
"Q9BV73","Q03001","CEP250","DST","poor",0
"Q5T9S5","Q9BV73","CCDC18","CEP250","poor",0
"Q9BVP2","P09012","GNL3","SNRPA","poor",0
"Q9NXL9","P42345","MCM9","MTOR","poor",0
"Q15910","P62807","EZH2","H2BC4","poor",0
"Q03701","P40926","CEBPZ","MDH2","poor",0
"Q9Y4L1","P27816","HYOU1","MAP4","poor",0
"Q9NZD2","Q9NPD8","GLTP","UBE2T","poor",0
"Q8ND61","Q00765","C3orf20","REEP5","poor",0
"P62807","Q86UE4","H2BC4","MTDH","poor",0
"P63244","P49792","RACK1","RANBP2","poor",304
"P43487","P0DJD1","RANBP1","RGPD2","poor",154
"P63244","P0DJD1","RACK1","RGPD2","poor",0
"Q96GQ7","P60842","DDX27","EIF4A1","poor",265
"P62873","O60673","GNB1","REV3L","poor",0
"Q9Y450","P53985","HBS1L","SLC16A1","poor",0
"P04406","O60673","GAPDH","REV3L","poor",298
"Q14919","P10586","DRAP1","PTPRF","poor",0
"P15170","P61326","GSPT1","MAGOH","poor",294
"P23588","P05455","EIF4B","SSB","poor",359
"P83916","P67936","CBX1","TPM4","poor",0
"Q96A08","P23921","H2BC1","RRM1","poor",0
"P49321","P14314","NASP","PRKCSH","poor",0
"Q86V81","Q06830","ALYREF","PRDX1","poor",0
"P25705","O76041","ATP5F1A","NEBL","poor",0
"O14617","P51572","AP3D1","BCAP31","poor",0
"P20810","P0C0S8","CAST","H2AC11","poor",0
"Q6UB99","Q9Y2S6","ANKRD11","TMA7","poor",0
"Q5QNW6","Q12816","H2BC18","TRO","poor",0
"Q96A08","P06899","H2BC1","H2BC11","poor",392
"Q13459","P61019","MYO9B","RAB2A","poor",291
"P24941","P62258","CDK2","YWHAE","poor",240
"P62805","Q99525","H4C1","H4C7","rich",0
"O75947","Q8IXB1","ATP5PD","DNAJC10","poor",0
"O14776","Q9UBT2","TCERG1","UBA2","poor",398
"P31153","Q92930","MAT2A","RAB8B","poor",0
"P06733","P09429","ENO1","HMGB1","poor",259
"P27824","Q92823","CANX","NRCAM","poor",0
"Q96A08","Q709C8","H2BC1","VPS13C","poor",0
"Q12830","Q07021","BPTF","C1QBP","poor",0
"P62807","O43615","H2BC4","TIMM44","poor",0
"Q99729","Q9ULC4","HNRNPAB","MCTS1","poor",0
"Q96JB1","P68431","DNAH8","H3C1","poor",0
"O95490","P06733","ADGRL2","ENO1","poor",0
"Q8IXB1","Q9H3Z4","DNAJC10","DNAJC5","poor",239
"P16401","P0C0S8","H1-5","H2AC11","rich",694
"P07814","P68431","EPRS1","H3C1","poor",0
"Q92520","P62807","FAM3C","H2BC4","poor",0
"Q6ZR08","P62937","DNAH12","PPIA","poor",0
"Q9P225","P09651","DNAH2","HNRNPA1","poor",0
"Q8NE71","P62807","ABCF1","H2BC4","rich",0
"Q96DU9","Q15431","PABPC5","SYCP1","poor",0
"Q14204","Q4KMP7","DYNC1H1","TBC1D10B","poor",0
"Q10570","P05114","CPSF1","HMGN1","poor",0
"P06576","Q9P2D1","ATP5F1B","CHD7","poor",168
"O94919","Q58FF3","ENDOD1","HSP90B2P","poor",0
"Q14839","P18669","CHD4","PGAM1","poor",0
"Q5T5Y3","P68431","CAMSAP1","H3C1","poor",0
"Q96CT7","P05204","CCDC124","HMGN2","poor",0
"P20929","O75151","NEB","PHF2","poor",0
"Q02539","P68431","H1-1","H3C1","poor",584
"P27824","Q9NS87","CANX","KIF15","poor",0
"Q01844","P04406","EWSR1","GAPDH","poor",502
"Q93096","Q12974","PTP4A1","PTP4A2","poor",721
"P13073","Q03001","COX4I1","DST","poor",0
"P12235","P61077","SLC25A4","UBE2D3","poor",0
"P06733","Q00839","ENO1","HNRNPU","poor",0
"P29401","Q502W6","TKT","VWA3B","poor",0
"Q96JB1","P06733","DNAH8","ENO1","poor",0
"Q9P225","P51991","DNAH2","HNRNPA3","poor",0
"P05141","P61077","SLC25A5","UBE2D3","poor",0
"P06733","P46060","ENO1","RANGAP1","poor",0
"P17844","P19338","DDX5","NCL","poor",517
"P13929","P07910","ENO3","HNRNPC","poor",0
"P20810","P68431","CAST","H3C1","poor",0
"P62807","P25490","H2BC4","YY1","rich",0
"Q92841","P17844","DDX17","DDX5","rich",889
"O60841","Q9Y5J7","EIF5B","TIMM9","poor",0
"Q15365","Q15366","PCBP1","PCBP2","rich",976
"P0DME0","Q01105","SETSIP","SET","poor",0
"Q9Y639","P58511","NPTN","SMIM11","poor",0
"P27824","Q8TD57","CANX","DNAH3","poor",0
"Q15059","P04080","BRD3","CSTB","poor",0
"Q13061","P13010","TRDN","XRCC5","poor",0
"A6NGG8","O00479","PCARE","HMGN4","poor",0
"Q6UB99","P18669","ANKRD11","PGAM1","poor",0
"P61978","Q9Y5A9","HNRNPK","YTHDF2","poor",285
"Q15366","Q9Y5A9","PCBP2","YTHDF2","poor",239
"P62333","Q9Y5A9","PSMC6","YTHDF2","poor",0
"Q5VTE0","P20962","EEF1A1P5","PTMS","poor",0
"Q96A08","O15397","H2BC1","IPO8","poor",650
"P06733","Q6T4R5","ENO1","NHS","poor",0
"Q05682","P26641","CALD1","EEF1G","poor",0
"P49326","P04406","FMO5","GAPDH","poor",0
"P17612","O95292","PRKACA","VAPB","poor",371
"P07814","P67809","EPRS1","YBX1","poor",529
"P07814","P16989","EPRS1","YBX3","poor",481
"Q16795","Q9NTG1","NDUFA9","PKDREJ","poor",0
"P0C0S5","Q9BZM5","H2AZ1","ULBP2","poor",0
"O43491","Q00765","EPB41L2","REEP5","poor",0
"Q5VTE0","Q7Z4V5","EEF1A1P5","HDGFL2","poor",0
"P62826","Q9P258","RAN","RCC2","poor",479
"P19338","Q92736","NCL","RYR2","poor",0
"Q9P225","Q99877","DNAH2","H2BC15","poor",0
"Q9BRT9","P40926","GINS4","MDH2","poor",0
"Q96A08","O43390","H2BC1","HNRNPR","poor",0
"Q14241","P17987","ELOA","TCP1","poor",0
"Q9NR30","P14314","DDX21","PRKCSH","poor",0
"Q08378","P17096","GOLGA3","HMGA1","poor",0
"Q9BZA7","Q9BZA8","PCDH11X","PCDH11Y","poor",0
"P62807","P49736","H2BC4","MCM2","poor",211
"Q9UQ16","P68431","DNM3","H3C1","poor",0
"Q9UII2","P35241","ATP5IF1","RDX","poor",188
"P12532","Q13201","CKMT1A","MMRN1","poor",0
"P62807","P33991","H2BC4","MCM4","poor",191
"Q9NYF8","Q00059","BCLAF1","TFAM","poor",157
"P40227","Q9BU23","CCT6A","LMF2","poor",0
"P16403","Q13459","H1-2","MYO9B","poor",169
"Q5T9S5","O15078","CCDC18","CEP290","poor",356
"O15078","Q03001","CEP290","DST","poor",0
"Q5VTE0","Q5T848","EEF1A1P5","GPR158","poor",0
"Q13151","Q58FF6","HNRNPA0","HSP90AB4P","poor",0
"Q01082","O15020","SPTBN1","SPTBN2","poor",733
"O14617","Q15233","AP3D1","NONO","poor",0
"Q8N5K1","Q9Y3D6","CISD2","FIS1","poor",349
"P62807","P23921","H2BC4","RRM1","poor",0
"Q71UI9","P06899","H2AZ2","H2BC11","poor",0
"O95425","Q15431","SVIL","SYCP1","poor",0
"P05204","Q14683","HMGN2","SMC1A","poor",0
"P04406","Q13547","GAPDH","HDAC1","poor",631
"P40227","O95425","CCT6A","SVIL","poor",0
"Q5VTE0","P26038","EEF1A1P5","MSN","poor",0
"O75937","P82979","DNAJC8","SARNP","poor",374
"Q9BSJ8","P10586","ESYT1","PTPRF","poor",0
"O95816","Q9UBF2","BAG2","COPG2","poor",0
"O95816","Q8TCA0","BAG2","LRRC20","poor",0
"Q8NFC6","O75955","BOD1L1","FLOT1","poor",0
"Q99961","Q99962","SH3GL1","SH3GL2","poor",947
"P0C0S8","Q32P51","H2AC11","HNRNPA1L2","poor",0
"O14983","P16615","ATP2A1","ATP2A2","poor",822
"Q16891","P20929","IMMT","NEB","poor",0
"Q8NCM8","Q15459","DYNC2H1","SF3A1","poor",0
"P05204","P11586","HMGN2","MTHFD1","poor",0
"Q9Y4K1","P00558","CRYBG1","PGK1","poor",0
"P13639","Q9UEW3","EEF2","MARCO","poor",0
"O75347","Q8WZ42","TBCA","TTN","poor",0
"Q9BUQ8","P40926","DDX23","MDH2","poor",0
"Q5T9A4","Q9H444","ATAD3B","CHMP4B","poor",0
"Q93079","Q16778","H2BC9","H2BC21","rich",0
"P56385","Q4KMP7","ATP5ME","TBC1D10B","poor",0
"P23528","Q9UKX5","CFL1","ITGA11","poor",0
"O14818","Q8TAA3","PSMA7","PSMA8","poor",922
"Q5VTE0","Q9H583","EEF1A1P5","HEATR1","poor",0
"Q5JRA6","P37837","MIA3","TALDO1","poor",0
"Q96QC0","P14314","PPP1R10","PRKCSH","poor",0
"Q15059","P68431","BRD3","H3C1","poor",275
"P07814","Q96A08","EPRS1","H2BC1","poor",0
"P22626","Q99733","HNRNPA2B1","NAP1L4","poor",159
"Q96A08","P48634","H2BC1","PRRC2A","poor",0
"P22626","Q99986","HNRNPA2B1","VRK1","poor",409
"P06733","Q9UGP8","ENO1","SEC63","poor",0
"Q5TAT6","P62805","COL13A1","H4C1","poor",0
"P61289","O60673","PSME3","REV3L","poor",0
"Q6P158","Q16891","DHX57","IMMT","poor",0
"Q15059","Q16891","BRD3","IMMT","poor",0
"P57053","P63104","H2BC12L","YWHAZ","poor",0
"Q5VTE0","P53041","EEF1A1P5","PPP5C","poor",0
"P10412","Q03164","H1-4","KMT2A","poor",0
"P78371","P49454","CCT2","CENPF","poor",0
"Q9UJY5","P22061","GGA1","PCMT1","poor",0
"P13639","P53985","EEF2","SLC16A1","poor",0
"Q5T848","P18669","GPR158","PGAM1","poor",0
"P06733","Q15431","ENO1","SYCP1","poor",0
"P62807","Q6PKG0","H2BC4","LARP1","poor",0
"Q13442","Q5H9L2","PDAP1","TCEAL5","poor",0
"P07814","P05204","EPRS1","HMGN2","poor",0
"P62495","P15170","ETF1","GSPT1","poor",999
"P40926","P20929","MDH2","NEB","poor",0
"Q5VTE0","Q15233","EEF1A1P5","NONO","poor",0
"P62820","Q9H0U4","RAB1A","RAB1B","poor",977
"P04406","P35579","GAPDH","MYH9","rich",411
"Q14865","P04843","ARID5B","RPN1","poor",0
"Q02539","Q00839","H1-1","HNRNPU","poor",0
"O75822","P31948","EIF3J","STIP1","poor",0
"O43768","Q9UMS4","ENSA","PRPF19","poor",0
"O00203","P07195","AP3B1","LDHB","poor",0
"Q5VTE0","P10412","EEF1A1P5","H1-4","rich",0
"P15313","P21281","ATP6V1B1","ATP6V1B2","poor",975
"O95447","Q8NC51","LCA5L","SERBP1","poor",0
"P12277","P46821","CKB","MAP1B","poor",0
"Q14839","O75131","CHD4","CPNE3","poor",0
"P05114","O14737","HMGN1","PDCD5","poor",0
"P06899","P05204","H2BC11","HMGN2","poor",0
"P04406","P62714","GAPDH","PPP2CB","poor",271
"P16402","P27348","H1-3","YWHAQ","poor",0
"Q7L014","O15355","DDX46","PPM1G","poor",0
"P20671","P61081","H2AC7","UBE2M","poor",0
"Q99715","P13667","COL12A1","PDIA4","poor",0
"A2A2Z9","P06733","ANKRD18B","ENO1","poor",0
"P06733","P52272","ENO1","HNRNPM","poor",173
"P24534","Q6R2W3","EEF1B2","ZBED9","poor",0
"Q13616","P31948","CUL1","STIP1","poor",0
"P49589","P50991","CARS1","CCT4","poor",307
"P16401","P62826","H1-5","RAN","poor",167
"Q14746","P16949","COG2","STMN1","poor",0
"P05204","O75352","HMGN2","MPDU1","poor",0
"Q8IYA6","P13667","CKAP2L","PDIA4","poor",0
